url,difficulty,number,acceptance,solution
https://leetcode.com/problems/valid-number,Hard,65,13.4%,undefined
https://leetcode.com/problems/string-to-integer-atoi,Medium,8,14.2%,undefined
https://leetcode.com/problems/max-points-on-a-line,Hard,149,15.3%,undefined
https://leetcode.com/problems/reverse-words-in-a-string,Medium,151,15.7%,undefined
https://leetcode.com/problems/divide-two-integers,Medium,29,15.8%,undefined
https://leetcode.com/problems/word-ladder-ii,Hard,126,16.1%,undefined
https://leetcode.com/problems/find-the-closest-palindrome,Hard,564,17.3%,https://leetcode.com/articles/find-the-closest-palindrome
https://leetcode.com/problems/prime-palindrome,Medium,866,18.3%,https://leetcode.com/articles/prime-palindrome
https://leetcode.com/problems/strong-password-checker,Hard,420,18.4%,undefined
https://leetcode.com/problems/fraction-to-recurring-decimal,Medium,166,18.7%,https://leetcode.com/articles/fraction-to-recurring-decimal
https://leetcode.com/problems/contains-duplicate-iii,Medium,220,19.0%,https://leetcode.com/articles/contains-duplicate-iii
https://leetcode.com/problems/unique-word-abbreviation,Medium,288,19.0%,https://leetcode.com/articles/unique-word-abbreviation
https://leetcode.com/problems/design-linked-list,Easy,707,19.4%,undefined
https://leetcode.com/problems/non-decreasing-array,Easy,665,19.7%,https://leetcode.com/articles/non-decreasing-array
https://leetcode.com/problems/sequence-reconstruction,Medium,444,19.7%,undefined
https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k,Hard,862,19.9%,https://leetcode.com/articles/shortest-subarray-with-sum-atleast-k
https://leetcode.com/problems/smallest-range-ii,Medium,910,20.0%,https://leetcode.com/articles/smallest-range-ii
https://leetcode.com/problems/validate-ip-address,Medium,468,20.6%,undefined
https://leetcode.com/problems/surrounded-regions,Medium,130,21.2%,undefined
https://leetcode.com/problems/decode-ways,Medium,91,21.3%,undefined
https://leetcode.com/problems/reverse-pairs,Hard,493,21.5%,https://leetcode.com/articles/reverse-pairs
https://leetcode.com/problems/text-justification,Hard,68,21.5%,undefined
https://leetcode.com/problems/word-ladder,Medium,127,21.7%,undefined
https://leetcode.com/problems/trips-and-users,Hard,262,21.8%,undefined
https://leetcode.com/problems/wildcard-matching,Hard,44,21.9%,undefined
https://leetcode.com/problems/compare-version-numbers,Medium,165,21.9%,undefined
https://leetcode.com/problems/transpose-file,Medium,194,21.9%,undefined
https://leetcode.com/problems/department-top-three-salaries,Hard,185,22.0%,https://leetcode.com/articles/department-top-three-salaries
